author1	author2	#coauthor
Huidong Jin	Jie Chen	1
Cyrus Shahabi	Kiyoung Yang	1
Pedro Pereira Rodrigues	Raquel Sebastiao	1
Dawei Song	Jian-Yun Nie	1
Stephan Bloehdorn	Marco Cammisa	1
Maguelonne Teisseire	Francois Trousset	1
Adrian O'Riordan	Humphrey Sorensen	1
Alex Aiken	Jon Stearley	1
Andriy Ivannikov	Timo Leino	1
Jian-Tao Sun	Chun-Yi Shi	1
Xiaofeng Zhang	William K. Cheung	1
David D. Jensen	Marc E. Maier	1
Zhanfeng Cui	Yanbo J. Wang	1
D. R. Mani	Jeffery Howard	1
Piotr Indyk	Dragomir Anguelov	1
Zaiqing Nie	Wei-Ying Ma	1
Naval K. Verma	Robert Schroko	1
Heikki Mannila	Luc De Raedt	1
Lei Guo	Songqing Chen	1
Ming-Wen Wang	Jian-Yun Nie	1
Pankaj Kankar	L. Venkata Subramaniam	1
Hartmut Wittig	Ralf Steinmetz	1
Hillol Kargupta	Kun Liu	1
Anastasia Ailamaki	Jun Rao	1
Bin Liu	David Finkel	1
Willi Klosgen	Ronald J. Brachman	1
Dragomir Anguelov	Martin Gavrilov	1
Hiromitsu Fujikawa	Kenichi Yoshida	1
Joydeep Ghosh	Srujana Merugu	3
Hong Cheng	ChengXiang Zhai	1
Beatrice Finance	Thierry Delot	1
Hillol Kargupta	Chris Giannella	1
Carson Kai-Sang Leung	Tariqul Hoque	1
Hans-Peter Kriegel	Stefan Brecheisen	1
Kai Puolamaki	Niko Vuokko	1
Simon Kasif	Truxton Fulton	1
Pascal Poncelet	Anne Laurent	1
Shuo Feng	Jason Luciow	1
Robert Broome	Mahdi Abdelguerfi	1
Kouzou Ohara	Alexandre Termier	1
Richard Chow	Philippe Golle	1
Shakil Ahmed	Paul H. Leng	1
Dennis McLeod	Seokkyung Chung	1
Robert A. Stine	Jing Zhou	1
Jiawei Han	Behzad Mortazavi-Asl	1
Nam Nguyen	Mohamed Farid Elhawary	1
Ling Liu	Lakshmish Ramaswamy	1
Prasenjit Mitra	Qingzhao Tan	2
Bernard Zenko	Saso Dzeroski	1
Jinho Lee	David A. Grossman	1
Veljko M. Milutinovic	Marco Gori	1
Kotagiri Ramamohanarao	Xiuzhen Zhang	1
Ramesh Natarajan	Fateh Tipu	1
Paul Cotofrei	Kilian Stoffel	1
Erich J. Neuhold	Klemens Bohm	1
Ben Kao	David Wai-Lok Cheung	1
Gonzalo Navarro	Ricardo A. Baeza-Yates	1
Ning Liu	Leefeng Chien	1
Jayavel Shanmugasundaram	Usama M. Fayyad	1
Paolo Boldi	Francesco Bonchi	1
Erik Thomsen	James T. Scoggins	1
Chris Bourke	Yaling Zheng	1
Ning Liu	Wei-Ying Ma	1
